time,root_dist,x,y,z,rel_vel_mag,Re,alpha_deg,alpha_geom_deg,cl,cd,fx,fy,fz,end_effect_factor
62.55,0.933333333333,0.00296854269162,-43.6082038023,39.6001836287,75.6657875078,9275706.7168,7.01795549705,8.26184288617,1.24450024969,0.00962350039429,19490.8545443,-1586.31890489,-1792.1997147,1
62.6,0.933333333333,0.00296854269162,-46.0271096707,36.760782876,75.672555751,9276536.42122,7.01822234094,8.26184288617,1.24452251723,0.00962372280639,19494.6793475,-1470.05269767,-1889.44919878,1
62.65,0.933333333333,0.00296854269162,-48.2614573907,33.773979819,75.678919321,9277316.51763,7.01243661798,8.26184288617,1.24408412947,0.00961748440352,19491.3258128,-1346.18997852,-1976.74723451,1
62.7,0.933333333333,0.00296854269162,-50.3022877407,30.6517508528,75.6853853475,9278109.17396,7.0080323473,8.26184288617,1.24375085578,0.00961272073856,19489.6136011,-1217.51713176,-2056.52592144,1
62.75,0.933333333333,0.00296854269162,-52.1414174592,27.4066153991,75.6922349931,9278948.85733,7.0065426481,8.26184288617,1.2436394521,0.00961106655581,19491.4559546,-1084.79135229,-2129.21478943,1
62.8,0.933333333333,0.00296854269162,-53.7714720582,24.0515857063,75.6991075875,9279791.35395,7.00127758899,8.26184288617,1.24324074364,0.00960538012015,19488.9597544,-947.030958012,-2191.69144682,1
62.85,0.933333333333,0.00296854269162,-55.1859153926,20.6001146737,75.7060557373,9280643.11274,6.99734613468,8.26184288617,1.24291489808,0.00960067167435,19487.5880074,-805.914891891,-2245.83275146,1
62.9,0.933333333333,0.00296854269162,-56.3790758693,17.0660419082,75.7127990983,9281469.76691,6.99470224125,8.26184288617,1.24268707792,0.00959734212699,19487.5940754,-661.912154575,-2291.48493253,1
62.95,0.933333333333,0.00296854269162,-57.3461691886,13.4635382307,75.7199028249,9282340.59753,6.98902086216,8.26184288617,1.24219543213,0.00959025552571,19483.7694176,-515.041652316,-2326.46300528,1
63,0.933333333333,0.00296854269162,-58.083317528,9.80704885419,75.7268806755,9283195.99728,6.98433357549,8.26184288617,1.24179011156,0.00958439910301,19481.1912774,-366.47457289,-2352.52903043,1
63.05,0.933333333333,0.00296854269162,-58.5875650921,6.11123546211,75.7338338216,9284048.36856,6.97785997552,8.26184288617,1.24122955843,0.00957633578365,19476.2345812,-216.593571225,-2368.23859723,1
63.1,0.933333333333,0.00296854269162,-58.8568899636,2.39091741812,75.7409724013,9284923.47174,6.97737289815,8.26184288617,1.24118921819,0.00957566921192,19479.292768,-66.2768803249,-2377.40984864,1
63.15,0.933333333333,0.00296854269162,-58.8902122118,-1.3389876561,75.7480482006,9285790.87881,6.9704279616,8.26184288617,1.2405877166,0.00956702320703,19473.7706577,84.2171404068,-2373.83377557,1
63.2,0.933333333333,0.00296854269162,-58.6873982219,-5.06352369706,75.7551047148,9286655.92176,6.96659818505,8.26184288617,1.24025688073,0.00956222727858,19472.3590894,234.146438361,-2362.29396227,1
63.25,0.933333333333,0.00296854269162,-58.2492612317,-8.76775616988,75.7622718163,9287534.52138,6.96304949922,8.26184288617,1.23995049056,0.00955777801215,19471.3752172,382.977012802,-2341.44497835,1
63.3,0.933333333333,0.00296854269162,-57.5775580698,-12.4368319523,75.769268036,9288392.17296,6.9575338545,8.26184288617,1.23947312102,0.00955090025035,19467.6956272,529.886848637,-2310.27052056,1
63.35,0.933333333333,0.00296854269162,-56.6749821118,-16.0560388924,75.7761212348,9289232.29191,6.94930486873,8.26184288617,1.23875991304,0.00954067179747,19460.3439599,674.001433646,-2268.59707631,1
63.4,0.933333333333,0.00296854269162,-55.5451524803,-19.6108648007,75.7831929214,9290099.19482,6.94522449229,8.26184288617,1.23840725549,0.00953556769228,19458.5988663,815.686360233,-2219.90714335,1
63.45,0.933333333333,0.00296854269162,-54.1925995327,-23.0870556411,75.7901232175,9290948.76496,6.94177406403,8.26184288617,1.23810929181,0.00953124346087,19457.6136052,954.035573365,-2162.66302513,1
63.5,0.933333333333,0.00296854269162,-52.6227466961,-26.470672686,75.7963107588,9291707.28239,6.92934654163,8.26184288617,1.23703098957,0.00951583563727,19444.3393992,1086.33574791,-2092.81669354,1
63.55,0.933333333333,0.00296854269162,-50.8418887201,-29.7481484073,75.8026635802,9292486.06114,6.92692223456,8.26184288617,1.23682201506,0.00951278505,19444.4104811,1216.19958293,-2019.17754257,1
63.6,0.933333333333,0.00296854269162,-48.8571664365,-32.9063408796,75.8079776642,9293137.50331,6.91857419555,8.26184288617,1.23609795858,0.00950242587954,19436.0855823,1339.38959912,-1935.0256666,1
63.65,0.933333333333,0.00296854269162,-46.6765381263,-35.9325864757,75.812829033,9293732.22222,6.91321584552,8.26184288617,1.23563358244,0.00949576445536,19431.4843572,1457.71516707,-1844.53009604,1
63.7,0.933333333333,0.00296854269162,-44.3087476087,-38.8147506451,75.8164105046,9294171.26714,6.90931645612,8.26184288617,1.23529565298,0.00949091654976,19428.1609626,1570.39273416,-1747.30186898,1
63.75,0.933333333333,0.00296854269162,-41.7632891802,-41.5412765709,75.8183294307,9294406.50418,6.90078131093,8.26184288617,1.23455440282,0.00948035668222,19417.825568,1674.89847409,-1641.53302623,1
63.8,0.933333333333,0.00296854269162,-39.0503695452,-44.1012315097,75.8183535004,9294409.45483,6.88942458111,8.26184288617,1.23356743739,0.00946632773972,19402.7654178,1771.18027893,-1528.56665942,1
63.85,0.933333333333,0.00296854269162,-36.1808668889,-46.4843506297,75.8161801512,9294143.02861,6.88702756631,8.26184288617,1.23335855549,0.00946338523343,19398.462898,1863.32095704,-1412.60469168,1
63.9,0.933333333333,0.00296854269162,-33.1662872583,-48.68107817,75.8109064881,9293496.54155,6.88548138949,8.26184288617,1.2332228114,0.00946152003706,19393.691045,1948.07909319,-1291.23758923,1
63.95,0.933333333333,0.00296854269162,-30.0187184263,-50.6826057572,75.8022669236,9292437.43586,6.88403366453,8.26184288617,1.23309475141,0.00945980491786,19387.3151445,2024.81019971,-1164.72824676,1
64,0.933333333333,0.00296854269162,-26.7507814214,-52.4809077249,75.7895684618,9290880.75865,6.88237517956,8.26184288617,1.23294732708,0.0094578636574,19378.5689702,2093.02370088,-1033.52859426,1
64.05,0.933333333333,0.00296854269162,-23.3755799214,-54.0687732951,75.7723953507,9288775.54376,6.87987503522,8.26184288617,1.23272561236,0.00945492008585,19366.40411,2152.11492712,-898.10087447,1
64.1,0.933333333333,0.00296854269162,-19.9066477096,-55.4398354909,75.7509178704,9286142.66548,6.87811443475,8.26184288617,1.23256706219,0.00945292617655,19353.0075351,2202.55797122,-759.373259908,1
