"Velocity Deficit","pMean","nutMean","nut","k","kMean","p","epsilon","force.turbine1:0","force.turbine1:1","force.turbine1:2","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.38524e-02,-1.05228e+01,1.33817e+01,1.08292e+01,8.69073e-01,9.47002e-01,-6.51001e+00,6.29558e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.16327e+01,-5.28795e-02,-2.94595e-01,1.16688e+01,-8.69949e-02,-2.49821e-01,1.42746e-02,1.37539e-03,7.86942e-03,4.03610e-04,5.73067e-04,6.44992e-03,1,5.61000e+00,1.89000e+01,0.00000e+00,-7.93900e+01
-2.28172e-02,-1.05632e+01,1.37362e+01,1.11418e+01,8.83266e-01,9.60254e-01,-6.53374e+00,6.31766e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.16215e+01,-5.49194e-02,-2.96248e-01,1.16570e+01,-8.93158e-02,-2.50919e-01,1.42545e-02,1.39676e-03,8.06852e-03,4.38140e-04,5.95723e-04,6.55511e-03,1,5.78000e+00,1.89000e+01,0.00000e+00,-7.92200e+01
-2.17820e-02,-1.06036e+01,1.40907e+01,1.14543e+01,8.97459e-01,9.73505e-01,-6.55748e+00,6.33974e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.16102e+01,-5.69593e-02,-2.97901e-01,1.16451e+01,-9.16367e-02,-2.52017e-01,1.42345e-02,1.41814e-03,8.26761e-03,4.72669e-04,6.18378e-04,6.66031e-03,1,5.95000e+00,1.89000e+01,0.00000e+00,-7.90500e+01
-2.07077e-02,-1.06446e+01,1.44446e+01,1.17667e+01,9.11787e-01,9.86810e-01,-6.58140e+00,6.36669e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.15984e+01,-5.90484e-02,-2.99400e-01,1.16329e+01,-9.40013e-02,-2.52977e-01,1.42403e-02,1.44014e-03,8.46816e-03,5.06857e-04,6.42844e-04,6.77203e-03,1,6.12000e+00,1.89000e+01,0.00000e+00,-7.88800e+01
-1.95403e-02,-1.06874e+01,1.47970e+01,1.20786e+01,9.26433e-01,1.00024e+00,-6.60576e+00,6.40521e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.15853e+01,-6.12538e-02,-3.00534e-01,1.16195e+01,-9.64696e-02,-2.53611e-01,1.43077e-02,1.46361e-03,8.67212e-03,5.40227e-04,6.71604e-04,6.89921e-03,1,6.29000e+00,1.89000e+01,0.00000e+00,-7.87100e+01
-1.83730e-02,-1.07301e+01,1.51494e+01,1.23905e+01,9.41079e-01,1.01367e+00,-6.63011e+00,6.44373e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.15721e+01,-6.34592e-02,-3.01668e-01,1.16062e+01,-9.89380e-02,-2.54244e-01,1.43750e-02,1.48709e-03,8.87608e-03,5.73597e-04,7.00364e-04,7.02639e-03,1,6.46000e+00,1.89000e+01,0.00000e+00,-7.85400e+01
-1.72057e-02,-1.07729e+01,1.55018e+01,1.27024e+01,9.55725e-01,1.02709e+00,-6.65446e+00,6.48225e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.15589e+01,-6.56646e-02,-3.02802e-01,1.15928e+01,-1.01406e-01,-2.54878e-01,1.44423e-02,1.51056e-03,9.08004e-03,6.06967e-04,7.29124e-04,7.15357e-03,1,6.63000e+00,1.89000e+01,0.00000e+00,-7.83700e+01
-1.60383e-02,-1.08156e+01,1.58542e+01,1.30143e+01,9.70372e-01,1.04052e+00,-6.67881e+00,6.52078e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.15458e+01,-6.78701e-02,-3.03935e-01,1.15795e+01,-1.03875e-01,-2.55512e-01,1.45097e-02,1.53404e-03,9.28401e-03,6.40338e-04,7.57886e-04,7.28076e-03,1,6.80000e+00,1.89000e+01,0.00000e+00,-7.82000e+01
-1.48709e-02,-1.08584e+01,1.62066e+01,1.33262e+01,9.85018e-01,1.05395e+00,-6.70317e+00,6.55930e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.15326e+01,-7.00755e-02,-3.05069e-01,1.15661e+01,-1.06343e-01,-2.56146e-01,1.45770e-02,1.55752e-03,9.48797e-03,6.73708e-04,7.86646e-04,7.40794e-03,1,6.97000e+00,1.89000e+01,0.00000e+00,-7.80300e+01
-1.36725e-02,-1.09018e+01,1.65575e+01,1.36368e+01,9.99763e-01,1.06742e+00,-6.72769e+00,6.60117e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.15190e+01,-7.23204e-02,-3.06088e-01,1.15524e+01,-1.08848e-01,-2.56674e-01,1.46656e-02,1.58174e-03,9.69310e-03,7.06878e-04,8.16885e-04,7.54068e-03,1,7.14000e+00,1.89000e+01,0.00000e+00,-7.78600e+01
-1.23846e-02,-1.09471e+01,1.69039e+01,1.39438e+01,1.01480e+00,1.08098e+00,-6.75269e+00,6.65267e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.15041e+01,-7.46792e-02,-3.06775e-01,1.15377e+01,-1.11457e-01,-2.56899e-01,1.48151e-02,1.60814e-03,9.90160e-03,7.39471e-04,8.51383e-04,7.68940e-03,1,7.31000e+00,1.89000e+01,0.00000e+00,-7.76900e+01
-1.10965e-02,-1.09924e+01,1.72503e+01,1.42508e+01,1.02983e+00,1.09455e+00,-6.77769e+00,6.70418e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.14891e+01,-7.70381e-02,-3.07462e-01,1.15230e+01,-1.14066e-01,-2.57125e-01,1.49646e-02,1.63454e-03,1.01101e-02,7.72065e-04,8.85882e-04,7.83814e-03,1,7.48000e+00,1.89000e+01,0.00000e+00,-7.75200e+01
-9.80860e-03,-1.10377e+01,1.75967e+01,1.45578e+01,1.04486e+00,1.10811e+00,-6.80270e+00,6.75569e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.14742e+01,-7.93969e-02,-3.08149e-01,1.15082e+01,-1.16675e-01,-2.57350e-01,1.51141e-02,1.66093e-03,1.03186e-02,8.04659e-04,9.20380e-04,7.98686e-03,1,7.65000e+00,1.89000e+01,0.00000e+00,-7.73500e+01
-8.52065e-03,-1.10830e+01,1.79431e+01,1.48648e+01,1.05990e+00,1.12168e+00,-6.82770e+00,6.80719e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.14593e+01,-8.17557e-02,-3.08836e-01,1.14935e+01,-1.19284e-01,-2.57575e-01,1.52637e-02,1.68733e-03,1.05271e-02,8.37252e-04,9.54878e-04,8.13559e-03,1,7.82000e+00,1.89000e+01,0.00000e+00,-7.71800e+01
-7.23270e-03,-1.11284e+01,1.82895e+01,1.51718e+01,1.07493e+00,1.13525e+00,-6.85270e+00,6.85870e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.14443e+01,-8.41145e-02,-3.09523e-01,1.14788e+01,-1.21893e-01,-2.57800e-01,1.54132e-02,1.71373e-03,1.07356e-02,8.69845e-04,9.89376e-04,8.28431e-03,1,7.99000e+00,1.89000e+01,0.00000e+00,-7.70100e+01
-5.93165e-03,-1.11740e+01,1.86349e+01,1.54778e+01,1.09000e+00,1.14882e+00,-6.87779e+00,6.91140e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.14292e+01,-8.64900e-02,-3.10167e-01,1.14639e+01,-1.24519e-01,-2.57984e-01,1.55726e-02,1.74058e-03,1.09446e-02,9.02442e-04,1.02447e-03,8.43526e-03,1,8.16000e+00,1.89000e+01,0.00000e+00,-7.68400e+01
-4.53280e-03,-1.12221e+01,1.89726e+01,1.57770e+01,1.10532e+00,1.16246e+00,-6.90349e+00,6.97309e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.14127e+01,-8.89900e-02,-3.10481e-01,1.14480e+01,-1.27263e-01,-2.57859e-01,1.58065e-02,1.77090e-03,1.11574e-02,9.35056e-04,1.06399e-03,8.60284e-03,1,8.33000e+00,1.89000e+01,0.00000e+00,-7.66700e+01
-3.13394e-03,-1.12701e+01,1.93104e+01,1.60762e+01,1.12064e+00,1.17611e+00,-6.92920e+00,7.03477e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.13961e+01,-9.14901e-02,-3.10795e-01,1.14320e+01,-1.30007e-01,-2.57733e-01,1.60405e-02,1.80122e-03,1.13702e-02,9.67670e-04,1.10351e-03,8.77042e-03,1,8.50000e+00,1.89000e+01,0.00000e+00,-7.65000e+01
-1.73509e-03,-1.13182e+01,1.96481e+01,1.63753e+01,1.13596e+00,1.18975e+00,-6.95490e+00,7.09646e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.13795e+01,-9.39901e-02,-3.11110e-01,1.14160e+01,-1.32751e-01,-2.57607e-01,1.62744e-02,1.83154e-03,1.15830e-02,1.00028e-03,1.14303e-03,8.93800e-03,1,8.67000e+00,1.89000e+01,0.00000e+00,-7.63300e+01
-3.36238e-04,-1.13663e+01,1.99858e+01,1.66745e+01,1.15129e+00,1.20339e+00,-6.98060e+00,7.15814e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.13630e+01,-9.64901e-02,-3.11424e-01,1.14000e+01,-1.35495e-01,-2.57481e-01,1.65083e-02,1.86186e-03,1.17957e-02,1.03290e-03,1.18256e-03,9.10558e-03,1,8.84000e+00,1.89000e+01,0.00000e+00,-7.61600e+01
1.06268e-03,-1.14144e+01,2.03235e+01,1.69737e+01,1.16661e+00,1.21704e+00,-7.00631e+00,7.21983e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.13464e+01,-9.89902e-02,-3.11739e-01,1.13840e+01,-1.38239e-01,-2.57356e-01,1.67422e-02,1.89218e-03,1.20085e-02,1.06551e-03,1.22208e-03,9.27316e-03,1,9.01000e+00,1.89000e+01,0.00000e+00,-7.59900e+01
2.46153e-03,-1.14624e+01,2.06612e+01,1.72728e+01,1.18193e+00,1.23068e+00,-7.03201e+00,7.28152e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.13298e+01,-1.01490e-01,-3.12053e-01,1.13680e+01,-1.40983e-01,-2.57230e-01,1.69761e-02,1.92250e-03,1.22213e-02,1.09813e-03,1.26160e-03,9.44074e-03,1,9.18000e+00,1.89000e+01,0.00000e+00,-7.58200e+01
3.94954e-03,-1.15131e+01,2.09897e+01,1.75635e+01,1.19740e+00,1.24432e+00,-7.05835e+00,7.34991e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.13120e+01,-1.04102e-01,-3.12106e-01,1.13510e+01,-1.43840e-01,-2.56849e-01,1.72906e-02,1.95730e-03,1.24374e-02,1.13175e-03,1.30462e-03,9.62071e-03,1,9.35000e+00,1.89000e+01,0.00000e+00,-7.56500e+01
5.45042e-03,-1.15641e+01,2.13169e+01,1.78530e+01,1.21288e+00,1.25796e+00,-7.08479e+00,7.41926e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.12939e+01,-1.06730e-01,-3.12122e-01,1.13339e+01,-1.46712e-01,-2.56432e-01,1.76168e-02,1.99274e-03,1.26540e-02,1.16551e-03,1.34815e-03,9.80247e-03,1,9.52000e+00,1.89000e+01,0.00000e+00,-7.54800e+01
6.95136e-03,-1.16152e+01,2.16441e+01,1.81424e+01,1.22837e+00,1.27160e+00,-7.11123e+00,7.48862e-03,0.00000e+00,0.00000e+00,0.00000e+00,1.12759e+01,-1.09359e-01,-3.12137e-01,1.13167e+01,-1.49585e-01,-2.56015e-01,1.79430e-02,2.02819e-03,1.28705e-02,1.19928e-03,1.39167e-03,9.98424e-03,1,9.69000e+00,1.89000e+01,0.00000e+00,-7.53100e+01
