time,x,y,z,rel_vel_mag,alpha_deg,alpha_geom_deg,cl,cd,cm
52.75,0.0246538433123,29.022312973,14.0844037079,38.00525052,12.9879748929,16.9415917578,1.0868309547,0.0826779705103,1.54566516283e-301
52.8,0.0246538433123,28.0727105375,15.893017372,38.0114319944,12.9807258647,16.9415917578,1.08690895476,0.0826467170377,1.54566516283e-301
52.85,0.0246538433123,27.0105429743,17.6379036833,38.0184182896,12.973300122,16.9415917578,1.08679830284,0.0826344185218,1.54566516283e-301
52.9,0.0246538433123,25.8400693317,19.312066048,38.0257696271,12.9651449227,16.9415917578,1.08674745935,0.0826168889255,1.54566516283e-301
52.95,0.0246538433123,24.5659829403,20.9087914592,38.0337611358,12.9532725693,16.9415917578,1.08645796567,0.0825873260467,1.54566516283e-301
53,0.0246538433123,23.1933925943,22.4216774144,38.0414624334,12.9454705115,16.9415917578,1.08653492347,0.0825668555707,1.54566516283e-301
53.05,0.0246538433123,21.7278020659,23.8446575881,38.0494616709,12.934957095,16.9415917578,1.08622681591,0.0825505742703,1.54566516283e-301
53.1,0.0246538433123,20.1750880369,25.1720261563,38.0575517785,12.9228298749,16.9415917578,1.0859418524,0.0825196053871,1.54566516283e-301
53.15,0.0246538433123,18.5414765343,26.3984606755,38.0659013076,12.9111406119,16.9415917578,1.08567676794,0.082490568328,1.54566516283e-301
53.2,0.0246538433123,16.8335179653,27.5190434249,38.074373358,12.8989479415,16.9415917578,1.08531919433,0.0824695735034,1.54566516283e-301
53.25,0.0246538433123,15.058060852,28.5292811246,38.0826275817,12.8853466542,16.9415917578,1.0849223236,0.0824463958986,1.54566516283e-301
53.3,0.0246538433123,13.2222243698,29.4251229534,38.0910487865,12.8724667469,16.9415917578,1.084530285,0.0824246924944,1.54566516283e-301
53.35,0.0246538433123,11.3333698019,30.2029767911,38.0995323969,12.8605577023,16.9415917578,1.08420722368,0.0824034182831,1.54566516283e-301
53.4,0.0246538433123,9.3990710216,30.8597236222,38.1075801987,12.8461565528,16.9415917578,1.08372919944,0.082373147911,1.54566516283e-301
53.45,0.0246538433123,7.42708412326,31.3927300427,38.1156085437,12.8320145436,16.9415917578,1.08331062,0.0823420025494,1.54566516283e-301
